,typeofoil,displacement,empty_vehicle_weight,downtown_fuel_efficiency,highway_fuel_efficiency,fuel_efficiency,typeofcar,CO2,grade
5,0,1580,1425,18.1,16.6,17.4,0,92,1
36,1,2151,1800,12.8,16.3,14.2,1,134,2
237,1,2497,1910,8.9,9.6,9.2,1,212,5
204,0,2497,2035,8.2,10.4,9.1,1,188,5
142,1,2199,1780,12.2,15.6,13.5,1,141,3
20,0,1796,1530,17.6,16.5,17.1,0,95,1
18,1,1582,1390,15.7,19.3,17.2,1,108,1
40,1,2151,1785,12.9,16.4,14.3,1,133,2
122,0,1598,1490,11.3,15.1,12.8,1,131,3
33,1,1597,1640,12.9,15.8,14.1,1,135,2
160,0,2497,1810,9.2,12.8,10.6,1,160,4
95,1,2151,1815,12.5,15.5,13.7,1,139,3
35,1,2151,1820,12.5,16.0,13.9,1,137,2
127,0,1999,1435,11.3,14.8,12.7,1,132,3
76,1,2199,1705,13.0,17.0,14.6,1,130,2
62,0,2359,1675,15.7,16.1,15.9,0,103,2
107,0,1332,1345,11.8,15.3,13.2,1,125,3
85,1,1995,1700,13.7,15.4,14.4,1,131,2
233,0,3342,1725,7.9,10.6,8.9,1,189,5
137,1,1997,1785,11.8,14.0,12.7,1,151,3
192,1,2157,2180,9.1,11.3,10.0,1,196,4
139,0,1497,1360,10.6,13.0,11.6,1,143,3
148,0,1998,1460,8.9,12.3,10.2,1,167,4
7,1,1598,1410,16.2,17.7,16.8,1,110,1
120,1,2996,2180,10.4,13.3,11.6,1,167,3
228,2,2999,1665,6.3,9.3,7.4,1,180,5
242,1,2497,2440,8.0,10.3,8.9,1,220,5
121,0,1598,1490,11.3,14.6,12.6,1,134,3
81,1,1597,1525,13.6,15.8,14.5,1,130,2
25,0,1999,1580,17.5,18.6,18.0,0,89,1
94,1,2151,1770,12.5,15.5,13.7,1,139,3
150,2,1591,1220,9.4,12.5,10.6,1,122,4
173,1,2996,2235,9.8,12.6,10.9,1,179,4
221,0,3470,1895,7.8,11.2,9.1,1,188,5
43,1,2151,1785,12.8,16.3,14.2,1,134,2
99,0,1598,1425,12.0,16.1,13.6,1,122,3
128,0,1497,1360,10.8,13.8,12.0,1,138,3
177,1,2996,2260,9.7,11.9,10.6,1,184,4
134,0,1591,1525,10.8,12.7,11.6,1,144,3
47,0,1598,1240,13.6,17.7,15.2,1,108,2
123,0,1598,1480,11.4,15.1,12.9,1,130,3
125,0,1598,1420,12.0,16.1,13.6,1,123,3
101,0,1999,1455,11.4,14.8,12.8,1,130,3
48,0,1598,1260,12.6,16.3,14.1,1,117,2
14,1,1598,1470,15.2,17.2,16.1,1,116,1
167,1,2996,2205,10.1,12.8,11.2,1,173,4
59,1,1597,1475,13.8,16.4,14.9,1,127,2
52,0,2359,1690,15.2,15.1,15.2,0,108,2
184,2,1999,1445,8.7,11.4,9.8,1,133,4
49,1,2151,1825,12.6,18.1,14.6,1,130,2
211,0,3470,2095,7.7,10.1,8.6,1,199,5
124,0,1999,1415,11.5,15.2,13.0,1,129,3
156,0,2497,2025,8.7,11.1,9.7,1,175,4
105,1,2151,1895,11.5,15.5,13.0,1,147,3
227,2,2999,1700,6.3,9.0,7.3,1,182,5
203,0,2497,2085,8.2,10.4,9.1,1,188,5
77,1,2199,1730,12.6,16.4,14.1,1,135,2
187,2,1999,1410,9.0,12.0,10.2,1,128,4
44,1,2151,1800,12.9,16.4,14.3,1,133,2
9,0,1999,1495,20.0,20.1,20.1,0,79,1
144,0,1598,1180,12.7,15.2,13.7,1,121,3
55,1,1597,1525,14.7,16.8,15.6,1,120,2
64,1,1598,1615,14.7,16.2,15.3,1,122,2
51,1,1597,1525,14.5,16.1,15.2,1,124,2
39,0,1598,1205,13.8,17.7,15.4,1,106,2
224,0,3470,2225,6.9,9.1,7.8,1,221,5
74,1,1598,1470,14.6,16.2,15.3,1,123,2
230,1,2497,2520,7.9,10.5,8.9,1,222,5
41,0,1598,1230,13.1,16.6,14.5,1,114,2
68,1,1749,1730,12.9,16.1,14.2,1,134,2
158,0,2497,2025,8.5,10.9,9.5,1,179,4
201,0,3470,2095,7.4,9.9,8.4,1,205,5
67,1,1995,1705,12.9,15.1,13.8,1,137,2
27,0,2359,1675,16.1,16.2,16.2,0,97,1
141,0,1497,1305,11.1,13.7,12.1,1,136,3
13,0,2359,1675,16.1,16.2,16.2,0,97,1
66,1,1598,1655,13.4,15.1,14.1,1,134,2
193,1,2157,2070,9.3,11.7,10.3,1,190,4
151,2,1591,1240,9.3,12.4,10.5,1,123,4
30,0,2359,1680,16.1,16.2,16.2,0,97,1
198,0,2497,2180,7.6,9.8,8.5,1,202,5
153,0,1998,1415,9.5,11.9,10.5,1,162,4
1,0,1999,1515,18.8,19.3,19.1,0,83,1
157,0,2497,1785,9.5,13.0,10.8,1,157,4
132,0,2497,1575,10.3,14.6,11.9,1,142,3
109,0,1199,1340,12.3,13.9,13.0,1,130,3
231,1,2497,2630,7.6,9.4,8.3,1,237,5
194,1,2157,2060,9.4,11.7,10.4,1,188,4
147,0,1497,1535,9.6,11.8,10.5,1,159,4
126,0,1598,1450,11.8,15.4,13.2,1,127,3
154,2,1999,1415,9.0,12.0,10.2,1,128,4
174,1,2996,2265,9.8,12.6,10.9,1,179,4
217,0,3470,2110,7.4,9.9,8.4,1,205,5
2,0,1999,1515,18.3,19.3,18.8,0,85,1
186,2,1999,1410,8.9,11.9,10.1,1,129,4
73,1,1598,1455,15.0,16.7,15.7,1,119,2
212,0,2497,2105,7.9,10.0,8.8,1,194,5
240,1,2497,2200,8.6,9.1,8.8,1,222,5
31,0,1580,1410,20.4,19.9,20.2,0,78,1
87,1,1598,1470,13.7,17.7,15.3,1,123,2
164,0,2497,1800,9.3,12.8,10.6,1,160,4
60,0,2359,1725,14.8,15.0,14.9,0,110,2
100,0,1999,1455,11.2,14.8,12.6,1,133,3
103,1,2151,1910,11.3,15.0,12.7,1,151,3
172,1,2996,2215,9.8,12.6,10.9,1,179,4
32,0,1580,1380,22.5,22.2,22.4,0,69,1
169,1,2996,2215,10.1,12.8,11.2,1,173,4
162,0,2497,1855,8.9,12.1,10.1,1,167,4
93,1,2151,1800,12.5,15.5,13.7,1,139,3
108,0,1332,1330,12.2,16.1,13.7,1,120,3
175,1,2996,2275,9.7,11.9,10.6,1,184,4
235,0,3342,2125,7.5,10.2,8.5,1,202,5
63,1,1598,1680,13.4,14.5,13.8,1,137,2
206,0,2497,2165,7.6,9.8,8.5,1,202,5
191,1,2157,2050,10.6,12.2,11.3,1,171,4
225,0,2497,2100,8.2,10.4,9.1,1,188,5
170,1,2996,2245,9.7,11.9,10.6,1,184,4
113,0,1341,1450,10.9,13.2,11.8,1,144,3
171,1,2996,2225,9.7,11.9,10.6,1,184,4
45,0,1598,1425,12.3,16.2,13.8,1,120,2
17,1,1598,1385,16.7,18.7,17.6,1,105,1
78,1,1598,1510,14.3,15.5,14.8,1,127,2
243,1,2497,1845,8.8,9.3,9.0,1,216,5
244,0,3342,1795,7.4,10.5,8.6,1,197,5
130,0,1497,1360,10.6,13.5,11.8,1,140,3
22,1,1598,1575,15.5,17.5,16.3,1,114,1
149,2,1591,1245,9.2,12.0,10.3,1,126,4
92,1,2151,1865,11.8,14.9,13.0,1,147,3
104,1,2151,1895,11.5,15.5,13.0,1,147,3
182,1,2996,2310,9.4,11.7,10.4,1,188,4
89,1,2151,1835,11.8,14.9,13.0,1,147,3
90,1,2151,1865,11.9,15.5,13.3,1,144,3
98,0,1598,1465,11.7,15.5,13.2,1,126,3
91,1,2151,1820,11.9,15.5,13.3,1,144,3
57,1,1597,1475,14.1,16.6,15.2,1,124,2
209,0,3470,2240,6.9,9.1,7.8,1,221,5
131,0,2497,1590,10.1,14.0,11.6,1,146,3
250,1,2497,2080,8.6,9.1,8.8,1,222,5
8,1,1598,1370,16.7,18.6,17.5,1,105,1
102,0,1999,1415,11.5,14.7,12.8,1,130,3
79,1,1598,1495,14.6,16.3,15.3,1,122,2
112,0,1341,1460,10.9,12.6,11.6,1,147,3
145,0,1497,1470,10.5,13.0,11.5,1,144,4
152,0,1998,1385,9.7,12.1,10.7,1,159,4
155,2,1999,1425,9.0,12.0,10.2,1,128,4
26,0,1999,1595,16.8,17.7,17.2,0,94,1
226,0,3470,2160,7.3,9.6,8.2,1,210,5
3,0,1999,1495,19.9,20.2,20.1,0,79,1
135,0,1598,1420,12.3,15.9,13.7,1,122,3
71,1,1597,1475,13.6,15.9,14.5,1,130,2
183,1,2996,2240,9.7,11.9,10.6,1,184,4
115,1,2996,2155,10.5,13.7,11.8,1,164,3
136,0,1598,1460,11.8,15.2,13.2,1,127,3
185,2,1999,1445,8.5,11.2,9.6,1,136,4
82,1,1597,1535,13.2,15.5,14.1,1,134,2
58,1,1597,1535,13.5,15.8,14.5,1,131,2
97,0,1999,1415,11.6,14.8,12.9,1,129,3
70,1,2199,1695,13.5,17.9,15.2,1,124,2
80,1,1597,1525,14.5,16.0,15.2,1,123,2
181,1,2996,2290,9.7,11.9,10.6,1,184,4
161,0,2497,1855,8.7,11.9,9.9,1,171,4
189,0,1497,1470,9.8,12.3,10.8,1,154,4
179,1,2996,2285,9.8,12.6,10.9,1,179,4
214,0,3470,2175,6.9,9.1,7.8,1,221,5
86,0,1341,1400,12.8,16.2,14.2,1,118,2
207,0,2497,2115,7.8,9.8,8.6,1,199,5
210,0,2497,2155,8.0,10.4,9.0,1,190,5
11,0,1999,1505,18.4,19.1,18.8,0,85,1
96,1,2151,1885,11.8,14.9,13.0,1,147,3
138,1,1997,1790,11.6,13.7,12.5,1,153,3
54,1,1597,1535,13.6,15.9,14.6,1,130,2
65,1,1598,1590,15.0,16.8,15.8,1,118,2
143,0,1598,1155,12.6,15.1,13.6,1,122,3
219,0,3470,1890,8.0,11.4,9.2,1,187,5
239,1,2497,1845,8.8,9.4,9.0,1,216,5
116,1,2996,2135,10.5,13.7,11.8,1,164,3
21,1,1582,1260,16.1,18.1,17.0,1,109,1
28,0,1580,1425,20.1,18.7,19.5,0,79,1
245,1,2497,1955,8.5,9.4,8.9,1,220,5
119,1,2996,2160,10.4,13.3,11.6,1,167,3
133,1,1995,1755,11.6,13.6,12.4,1,154,3
223,0,2497,2075,8.4,10.7,9.3,1,183,5
178,1,2996,2230,10.1,12.8,11.2,1,173,4
208,0,3470,1965,7.3,10.3,8.4,1,207,5
12,0,1999,1495,19.4,20.1,19.8,0,80,1
83,1,1995,1645,14.4,16.0,15.1,1,124,2
229,2,2999,1640,6.4,9.3,7.5,1,177,5
199,0,2497,2130,7.8,9.8,8.6,1,199,5
176,1,2996,2210,10.1,12.8,11.2,1,173,4
16,1,1598,1410,16.2,18.1,17.0,1,109,1
106,0,1598,1300,12.1,15.4,13.4,1,123,3
140,1,1597,1530,12.5,15.4,13.6,1,139,3
15,1,1598,1425,15.7,17.5,16.4,1,113,1
29,0,1580,1465,17.7,16.4,17.1,0,92,1
24,1,1598,1580,15.3,17.6,16.3,1,115,1
190,1,2157,2150,10.1,12.1,11.0,1,177,4
216,0,2497,2155,7.9,10.0,8.8,1,194,5
37,1,2151,1755,12.9,16.4,14.3,1,133,2
159,0,2497,1880,8.7,11.6,9.8,1,174,4
114,0,1341,1345,12.5,14.2,13.2,1,127,3
72,1,1598,1490,13.9,15.7,14.6,1,129,2
